gene_name,entrezgene_id,padj,Diff
A1BG,1,9.89e-27,1.598958959
A1BG-AS1,503538,2.77e-30,-1.117930917
A1CF,29974,1.6e-09,-4.404591425
A2M,2,2.34e-07,-4.03377856
A2M-AS1,144571,0.027973811,0.12942875
A2ML1,144568,5.65e-30,-1.6776236
A2MP1,3,6.34e-28,-1.347166266
A3GALT2,127550,0.013504859,1.592332107
A4GALT,53947,1.57e-55,-1.838267798
AA06,100506677,0.000103972,-0.34779051
AAAS,8086,1.96e-12,0.510181181
AACSP1,729522,0.002395081,2.435869572
AADACL2,344752,0.001771211,-3.3456229
AADACL3,126767,1.24e-34,-1.723557021
AADACL4,343066,4.57e-33,-1.667109643
AAGAB,79719,1.13e-08,5.833536925
AAMDC,28971,4.45e-05,4.270762246
AANAT,15,1.88e-31,-1.44991062
AAR2,25980,2.1e-18,0.87201961
AARD,441376,2.99e-05,0.73442012
AARS2,57505,2.2e-24,-1.303265926
AASDH,132949,0.016039913,-0.179907088
AASS,10157,0.003270982,-2.898765532
AATBC,284837,6.1e-27,-0.867309222
AATK,9625,9.41e-15,-1.551145849
ABALON,103021294,0.014820808,-0.20544503
ABCA1,19,7.05e-09,-4.193119425
ABCA10,10349,4.75e-34,-1.279133352
ABCA11P,79963,3.06e-05,-0.333910879
ABCA12,26154,2.74e-30,-1.799782005
ABCA13,154664,1.88e-43,-3.124478111
ABCA2,20,1.8e-05,-3.043308948
ABCA5,23461,0.015213538,2.13597316
ABCA6,23460,4e-05,-3.977434809
ABCA7,10347,5.89e-24,-1.444875001
ABCA8,10351,7.67e-07,-3.051669863
ABCA9-AS1,104355297,4.97e-15,-0.766434199
ABCB1,5243,4.59e-53,-2.670582595
ABCB11,8647,0.001829528,-1.954962929
ABCB4,5244,1.2e-16,1.434715686
ABCB5,340273,0.000495457,-3.213169475
ABCB6,10058,2.58e-46,2.745866201
ABCB7,22,6.68e-09,4.767536392
ABCB8,11194,1.22e-19,0.93158697
ABCB9,23457,2.98e-37,-1.107862953
ABCC10,89845,9.31e-08,0.631191819
ABCC11,85320,2.53e-41,-2.281007535
ABCC12,94160,3.48e-29,-1.78853441
ABCC13,150000,0.01380368,-1.296623201
ABCC2,1244,8.73e-18,-1.369811972
ABCC3,8714,1.37e-71,-2.618298391
ABCC5,10057,0.00102083,2.501826737
ABCC5-AS1,100873982,0.00102083,2.501826737
ABCC6,368,2.23e-15,-0.819550279
ABCC6P1,653190,0.015953461,0.174224599
ABCC8,6833,6.55e-63,-1.899328852
ABCC9,10060,1.96e-11,-6.159238294
ABCD1,215,1.62e-12,-1.176956966
ABCD2,225,0.009293998,-1.410732783
ABCD4,5826,4.16e-22,0.821210763
ABCE1,6059,0.000601414,0.255190398
ABCF1,23,1.78e-36,1.332397592
ABCF3,55324,6.29e-06,2.510405025
ABCG1,9619,4.05e-88,-4.207497233
ABCG4,64137,9.02e-27,-1.3812872
ABCG5,64240,0.000327037,-1.309943999
ABCG8,64241,2.26e-25,-1.021490379
ABHD1,84696,2.69e-06,-0.737815672
ABHD10,55347,4.03e-20,1.22434074
ABHD12,26090,1.52e-93,-3.294831962
ABHD14A,25864,2.32e-18,0.858735781
ABHD14B,84836,2.32e-18,0.858735781
ABHD15,116236,0.000992271,-1.255546952
ABHD16B,140701,3.84e-07,0.388522459
