gene_name,entrezgene_id,padj,Log2FC,absLogFC
XPO5,57510,0.999907244,-6.22E-06,6.22e-06
VPS45,11311,0.999082681,3.93e-05,3.93e-05
TASOR,23272,0.998676903,-6.68E-05,6.68e-05
FAM43A,131583,0.999673304,7.21e-05,7.21e-05
EGR2,1959,0.99974187,9.52e-05,9.52e-05
CCDC191,57577,0.99844077,-0.000138551,0.000138551
MT2A,4502,0.99902194,-0.000244791,0.000244791
VRK3,51231,0.996426383,0.000275722,0.000275722
MYD88,4615,0.997352826,-0.000282942,0.000282942
KCNJ13,3769,0.997512099,-0.00032056,0.00032056
PPP6R3,55291,0.990037369,0.000366862,0.000366862
GSN-AS1,57000,0.996426383,0.000458156,0.000458156
FBXO46,23403,0.992153032,0.000497906,0.000497906
IBA57-DT,574432,0.997117763,-0.000531431,0.000531431
POLR1B,84172,0.988111842,0.000712629,0.000712629
RARA-AS1,101929693,0.99467535,-0.000752015,0.000752015
EIF1,10209,0.990037369,0.000769445,0.000769445
TMEM26,219623,0.995049845,-0.000778223,0.000778223
SMCR8,140775,0.985382764,0.000788353,0.000788353
MFSD13B,105371130,0.990612153,-0.000873104,0.000873104
CARS1-AS1,100852407,0.992934502,-0.000883248,0.000883248
HTR4,3360,0.996872757,0.00091494,0.00091494
TTL,150465,0.987919384,0.000920149,0.000920149
RUNX1T1,862,0.994635627,0.001007705,0.001007705
THBS3-AS1,105371450,0.989862014,0.001048756,0.001048756
DLGAP4,22839,0.987404585,-0.001277674,0.001277674
ARL6IP1,23204,0.983365038,-0.001279241,0.001279241
VPS51,738,0.985168674,0.001323718,0.001323718
NFE4,58160,0.993016793,0.001333412,0.001333412
KIAA1143,57456,0.977081567,-0.001337893,0.001337893
GTF2A2,2958,0.977018556,0.001358711,0.001358711
TC2N,123036,0.989879061,0.001409778,0.001409778
LBR,3930,0.977601777,-0.001410609,0.001410609
STX16,8675,0.986747047,0.001452599,0.001452599
PRH2,5555,0.982234259,-0.001568227,0.001568227
WDR26,80232,0.967977531,0.00162308,0.00162308
PFAS,5198,0.971384774,0.001675474,0.001675474
MIR1972-1,100302243,0.988763928,0.001691893,0.001691893
LETMD1,25875,0.972838703,0.001699978,0.001699978
NEXN,91624,0.989614375,0.001710976,0.001710976
NFYB,4801,0.967812002,-0.001952286,0.001952286
FAM241B,219738,0.981909836,0.002082304,0.002082304
CYB561A3,220002,0.964704873,0.002092393,0.002092393
DAZAP1,26528,0.955849467,0.00211624,0.00211624
DACT3,147906,0.988438695,0.002262989,0.002262989
OTUD5,55593,0.946482575,0.002295314,0.002295314
GMPS,8833,0.963085247,-0.002298653,0.002298653
ACTR10,55860,0.965229562,-0.002356225,0.002356225
RHOXF1,158800,0.986579961,-0.002383564,0.002383564
PHF1,5252,0.968721039,-0.002396417,0.002396417
KLF3,51274,0.961945104,0.002406949,0.002406949
TRMT13,54482,0.951061041,0.002439769,0.002439769
GLB1L3,112937,0.994608474,-0.002531236,0.002531236
TBL3,10607,0.958828279,-0.002551519,0.002551519
MARF1,9665,0.942517321,0.002578908,0.002578908
PRCD,768206,0.976172467,-0.002727487,0.002727487
SCAPER,49855,0.959445387,0.002828886,0.002828886
TMED5,50999,0.966643347,-0.002881609,0.002881609
GGCX,2677,0.95758925,-0.002900284,0.002900284
LINC00960,401074,0.982704671,-0.003026172,0.003026172
CDC26,246184,0.953979689,0.003035046,0.003035046
DCUN1D5,84259,0.938244604,0.003106738,0.003106738
EMC7,56851,0.952230933,0.003224376,0.003224376
XPO4,64328,0.924506465,0.003258338,0.003258338
FARS2,10667,0.934439765,-0.00327444,0.00327444
ACTR1A,10121,0.942378738,-0.003298724,0.003298724
ATG101,60673,0.962437878,-0.003366382,0.003366382
FOCAD,54914,0.96864915,0.003377242,0.003377242
DMXL2,23312,0.953266035,-0.003398666,0.003398666
EMC10,284361,0.956029876,-0.003405628,0.003405628
CSNK2A2,1459,0.947124049,0.003496488,0.003496488
FBXL3,26224,0.946625969,0.003568616,0.003568616
SLC12A9,56996,0.947791856,0.003622227,0.003622227
LRWD1,222229,0.952730715,-0.003622689,0.003622689
PRPF38A,84950,0.925586733,0.003646938,0.003646938
ASB16-AS1,339201,0.945480761,0.003672354,0.003672354
PRPF18,8559,0.934674354,0.00369128,0.00369128
LINC00222,387111,0.976978105,-0.003708635,0.003708635
COPRS,55352,0.947730506,-0.00377386,0.00377386
